Year,Winter precipitation departure (percentage),Spring precipitation departure (percentage),Summer precipitation departure (percentage),Fall precipitation departure (percentage)
1948,-15.1,-10.3,0.7,-19.8
1949,-17.3,-16.1,-6.5,-10.1
1950,-13,-24.2,-9.3,-9.3
1951,-4.7,-2,-10.5,-7.4
1952,-16.8,-10.5,3.9,-23.3
1953,-8.1,-7.8,1.3,-18.1
1954,-13.6,-15,-5.6,-12.6
1955,-13.5,-8.5,-9.7,-11.1
1956,-1.9,-27.1,-4.9,-18.8
1957,-20.2,-20.9,-2.3,-10.3
1958,5.3,-14.8,-14,-7.1
1959,-13,-5.2,-3.7,6.1
1960,-5.6,-8.7,-2.7,-6
1961,-14.1,-10.3,-12.8,-5.1
1962,-4.2,-9.5,3.8,-12.5
1963,3.7,-14.7,7.2,-8.1
1964,-4.4,1.2,2.3,-7.7
1965,12.3,-12.6,-6.5,-5.6
1966,-15.6,-5.6,-1,0.4
1967,-2.6,-10.1,-5.2,-1.6
1968,5.4,-2.4,-4.3,3.9
1969,4.7,-11.5,-2.2,-1
1970,-6.8,-6.1,0.1,5.2
1971,4.3,-4.1,-2.3,8.7
1972,1.5,5.1,-6.3,-2.8
1973,-9.7,-0.1,5.2,6.8
1974,1.4,5.1,3,-2.6
1975,-1.5,-4.5,2.3,-0.6
1976,4.3,4.3,3.5,-18.1
1977,15.2,16.8,-4.4,-1.7
1978,-10.8,-0.5,1.9,-1.1
1979,-9.7,20.4,-1.4,-3.1
1980,4.9,2.2,6.8,0.9
1981,6.6,5.7,1.8,9.8
1982,-1.1,1.3,-1.1,0.4
1983,1.4,2.5,0.5,7.5
1984,0.5,-1.4,7.1,5.7
1985,-0.2,-1.9,0.9,8.3
1986,6.7,14.3,-0.4,-2.4
1987,1.8,0.7,3.7,-5.9
1988,2.2,11.2,7.1,6.7
1989,-7.1,-2.2,-7.5,8.6
1990,-1.4,7.7,-0.8,8.1
1991,2.7,6.8,8.6,12
1992,11.9,7.7,-8.3,7
1993,-3.3,0.2,11.2,-2.5
1994,-4.8,8.5,-0.7,2
1995,-1.9,-0.6,0.1,8.2
1996,15.3,4,5.3,10.2
1997,18,0.8,10.4,5.3
1998,-4.5,-8.9,-1,1.7
1999,9,15.3,4.4,0.3
2000,-0.1,2.4,8.9,-2.5
2001,-0.9,12.1,1.1,-4.5
2002,-4.3,-0.3,12.6,-3.7
2003,1.8,8.9,1.3,10.1
2004,8.5,10.5,-5.1,10
2005,19.1,16.8,14.5,12.9
2006,10.7,14.1,-5.3,5.5
2007,-0.7,10,5.2,11.5
2008,11.3,-3.8,10.9,-0.2
2009,14.2,4.7,4.3,4.2
2010,-2.3,4.5,7.1,14.5
2011,28.2,-3.4,12,1.8
2012,5.9,20,4.4,11.2
2013,5.4,4.5,1.8,1
2014,-14.8,1.4,5.8,-1.5
