ID,Title,Source,Format,isPartOf,Type,isFormatOf ,isRequiredBy 
0,GMT20210921-012034_R-s1-full.mp4,EECS3461,.mp4,Module_02_Research_I,iER,,
1,R-Interaction-I.mp4.-transcript.txt,EECS3461,.txt,Module_02_Research_I,iER,R-Interaction-I.mp4-s1-full.mp4,
2,3461f21_Module02_CM05.pptx,EECS3461,.pptx,Module_02_Research_I,iER,,
3,3461f21_Module02_CM05.pdf,EECS3461,.pdf,Module_02_Research_I,iER,,
4,GMT20210921-012034_R-transcript.txt,EECS3461,.txt,Module_02_Research_I,iER,GMT20210921-012034_R-s1-full.mp4,
5,R-Interaction-I.mp4-s1-full.mp4,EECS3461,.mp4,Module_02_Research_I,iER,,
6,R-Design-V_GMT202110-s1-full.mp4,EECS3461,.mp4,Module_04_Prototyping_I,iER,,
7,R-Design-V_GMT202110-transcript.txt,EECS3461,.txt,Module_04_Prototyping_I,iER,R-Design-V_GMT202110-s1-full.mp4,
8,GMT20210927-234744_R-transcript.txt,EECS3461,.txt,Module_03_Ideation-Generating_Alternatives_I,iER,GMT20210927-234744_R-s1-full.mp4,
9,GMT20210927-234744_R-s1-full.mp4,EECS3461,.mp4,Module_03_Ideation-Generating_Alternatives_I,iER,,
10,GMT20210920-140521_R-s1-full.mp4,EECS3461,.mp4,Module_01_Basic_Concepts_&_Dark_Patterns,iER,,
11,GMT20210913-144451_R-s1-full.mp4,EECS3461,.mp4,Module_01_Basic_Concepts_&_Dark_Patterns,iER,,
12,GMT20210920-153831_R-s1-full.mp4,EECS3461,.mp4,Module_01_Basic_Concepts_&_Dark_Patterns,iER,,
13,GMT20210913-153454_R-s1-full.mp4,EECS3461,.mp4,Module_01_Basic_Concepts_&_Dark_Patterns,iER,,
14,GMT20210915-135921_R-s1-full.mp4,EECS3461,.mp4,Module_01_Basic_Concepts_&_Dark_Patterns,iER,,
15,GMT20210915-142558_R-transcript.txt,EECS3461,.txt,Module_01_Basic_Concepts_&_Dark_Patterns,iER,GMT20210915-142558_R-s1-full.mp4,
16,GMT20210917-160614_R-s1-full.mp4,EECS3461,.mp4,Module_01_Basic_Concepts_&_Dark_Patterns,iER,,
17,GMT20210913-140034_R-transcript(1).txt,EECS3461,.txt,Module_01_Basic_Concepts_&_Dark_Patterns,iER,GMT20210913-140034_R-s1-full(1).mp4,
