ID,Title,Source,Format,Type,isPartOf,isFormatOf ,isRequiredBy 
2,Grades_[EECS4462],EECS4462,dir,mER,,,
6,Assignment_3_[EECS4462],EECS4462,dir,mER,,,
9,Important_Dates_[EECS4462],EECS4462,dir,mER,,,
12,Instructor_[EECS4462],EECS4462,dir,mER,,,
16,Assignment_1_[EECS4462],EECS4462,dir,mER,,,
23,eval_[EECS4462],EECS4462,dir,mER,,,
27,Assignment_2_[EECS4462],EECS4462,dir,mER,,,
76,Course_Outline_[EECS4462],EECS4462,dir,mER,,,
80,Resources_[EECS4462],EECS4462,dir,mER,,,
81,Lecture_Videos,EECS4462,dir,mER,,,
82,Lecture_Audio,EECS4462,dir,mER,,,
83,Lecture_Transcripts,EECS4462,dir,mER,,,
85,A2StarterCode-s1-full.wav,EECS4462,.wav,mER,Lecture_Audio,A2StarterCode-s1-full.mp4,
88,Untitled-s1-full_(8).wav,EECS4462,.wav,mER,Lecture_Audio,Untitled-s1-full_(8).mp4,
91,A3process-s1-full.wav,EECS4462,.wav,mER,Lecture_Audio,A3process-s1-full.mp4,
94,Untitled-s1-full_(4).wav,EECS4462,.wav,mER,Lecture_Audio,Untitled-s1-full_(4).mp4,
97,Untitled-s1-full_(5).wav,EECS4462,.wav,mER,Lecture_Audio,Untitled-s1-full_(5).mp4,
100,Debugging-s1-full.wav,EECS4462,.wav,mER,Lecture_Audio,Debugging-s1-full.mp4,
103,Untitled-s1-full_(9).wav,EECS4462,.wav,mER,Lecture_Audio,Untitled-s1-full_(9).mp4,
106,Untitled-s1-full_(12).wav,EECS4462,.wav,mER,Lecture_Audio,Untitled-s1-full_(12).mp4,
109,ToolsWindows-s1-full.wav,EECS4462,.wav,mER,Lecture_Audio,ToolsWindows-s1-full.mp4,
112,Untitled-s1-full_(2).wav,EECS4462,.wav,mER,Lecture_Audio,Untitled-s1-full_(2).mp4,
115,ToolsMac-s1-full.wav,EECS4462,.wav,mER,Lecture_Audio,ToolsMac-s1-full.mp4,
118,A3demo.mov-s1-full.wav,EECS4462,.wav,mER,Lecture_Audio,A3demo.mov-s1-full.mp4,
121,Untitled-s1-full_(3).wav,EECS4462,.wav,mER,Lecture_Audio,Untitled-s1-full_(3).mp4,
124,Untitled-s1-full.wav,EECS4462,.wav,mER,Lecture_Audio,Untitled-s1-full.mp4,
127,APVTS-s1-full.wav,EECS4462,.wav,mER,Lecture_Audio,APVTS-s1-full.mp4,
130,VSTAudioPlayer.mov-s1-full.wav,EECS4462,.wav,mER,Lecture_Audio,VSTAudioPlayer.mov-s1-full.mp4,
133,Untitled-s1-full_(1).wav,EECS4462,.wav,mER,Lecture_Audio,Untitled-s1-full_(1).mp4,
136,Untitled-s1-full_(11).wav,EECS4462,.wav,mER,Lecture_Audio,Untitled-s1-full_(11).mp4,
139,Untitled-s1-full_(6).wav,EECS4462,.wav,mER,Lecture_Audio,Untitled-s1-full_(6).mp4,
142,Untitled-s1-full_(7).wav,EECS4462,.wav,mER,Lecture_Audio,Untitled-s1-full_(7).mp4,
145,ProcessBlock.mov-s1-full.wav,EECS4462,.wav,mER,Lecture_Audio,ProcessBlock.mov-s1-full.mp4,
148,Untitled-s1-full_(10).wav,EECS4462,.wav,mER,Lecture_Audio,Untitled-s1-full_(10).mp4,
29,Course_Outline_[EECS4462]_week_12_study_material.txt,EECS4462,.txt,iER,Course_Outline_[EECS4462]_content.txt,,
30,Course_Outline_[EECS4462]_week_4_study_material.txt,EECS4462,.txt,iER,Course_Outline_[EECS4462]_content.txt,,
31,Course_Outline_[EECS4462]_week_9_study_material.txt,EECS4462,.txt,iER,Course_Outline_[EECS4462]_content.txt,,
