,Title,Source,Format,Type,isPartOf,isFormatOf,isRequiredBy
0,Grades_[EECS4462]_links.txt,EECS4462,.txt,,Grades_[EECS4462],,
1,Grades_[EECS4462]_content.txt,EECS4462,.txt,,Grades_[EECS4462],,
2,Grades_[EECS4462],EECS4462,,container,,,
3,Assignment_3_[EECS4462]_content.txt,EECS4462,.txt,,Assignment_3_[EECS4462],,
4,Assignment_3_[EECS4462]_links.txt,EECS4462,.txt,,Assignment_3_[EECS4462],,
5,assignments:assignment3.pdf,EECS4462,.pdf,,Assignment_3_[EECS4462]_content.txt,,
6,Assignment_3_[EECS4462],EECS4462,,container,,,
7,Important_Dates_[EECS4462]_links.txt,EECS4462,.txt,,Important_Dates_[EECS4462],,
8,Important_Dates_[EECS4462]_content.txt,EECS4462,.txt,,Important_Dates_[EECS4462],,
9,Important_Dates_[EECS4462],EECS4462,,container,,,
10,Instructor_[EECS4462]_content.txt,EECS4462,.txt,,Instructor_[EECS4462],,
11,Instructor_[EECS4462]_links.txt,EECS4462,.txt,,Instructor_[EECS4462],,
12,Instructor_[EECS4462],EECS4462,,container,,,
13,Assignment_1_[EECS4462]_content.txt,EECS4462,.txt,,Assignment_1_[EECS4462],,
14,assignments:assignment1.pdf,EECS4462,.pdf,,Assignment_1_[EECS4462]_content.txt,,
15,Assignment_1_[EECS4462]_links.txt,EECS4462,.txt,,Assignment_1_[EECS4462],,
16,Assignment_1_[EECS4462],EECS4462,,container,,,
17,peer1rubric.pdf,EECS4462,.pdf,,eval_[EECS4462]_content.txt,,
18,eval_[EECS4462]_content.txt,EECS4462,.txt,,eval_[EECS4462],,
19,peer3rubric.pdf,EECS4462,.pdf,,eval_[EECS4462]_content.txt,,
20,eval_[EECS4462]_links.txt,EECS4462,.txt,,eval_[EECS4462],,
21,peer2rubric.pdf,EECS4462,.pdf,,eval_[EECS4462]_content.txt,,
22,peer4rubric.pdf,EECS4462,.pdf,,eval_[EECS4462]_content.txt,,
23,eval_[EECS4462],EECS4462,,container,,,
24,Assignment_2_[EECS4462]_links.txt,EECS4462,.txt,,Assignment_2_[EECS4462],,
25,Assignment_2_[EECS4462]_content.txt,EECS4462,.txt,,Assignment_2_[EECS4462],,
26,assignments:assignment2.pdf,EECS4462,.pdf,,Assignment_2_[EECS4462]_content.txt,,
27,Assignment_2_[EECS4462],EECS4462,,container,,,
28,week_1_-_midi.pdf,EECS4462,.pdf,,Course_Outline_[EECS4462]_content.txt,,
29,Course_Outline_[EECS4462]_week_12_study_material.txt,EECS4462,.txt,iER,Course_Outline_[EECS4462]_content.txt,,
30,Course_Outline_[EECS4462]_week_4_study_material.txt,EECS4462,.txt,iER,Course_Outline_[EECS4462]_content.txt,,
31,Course_Outline_[EECS4462]_week_9_study_material.txt,EECS4462,.txt,iER,Course_Outline_[EECS4462]_content.txt,,
32,Course_Outline_[EECS4462]_content.txt,EECS4462,.txt,,Course_Outline_[EECS4462],,
33,Course_Outline_[EECS4462]_week_5_due.txt,EECS4462,.txt,rER,Course_Outline_[EECS4462]_content.txt,,
34,Course_Outline_[EECS4462]_week_5_weekly_goals.txt,EECS4462,.txt,rER,Course_Outline_[EECS4462]_content.txt,,
35,digitizingsound.pdf,EECS4462,.pdf,,Course_Outline_[EECS4462]_content.txt,,
36,Course_Outline_[EECS4462]_week_1_weekly_goals.txt,EECS4462,.txt,rER,Course_Outline_[EECS4462]_content.txt,,
37,juce.pdf,EECS4462,.pdf,,Course_Outline_[EECS4462]_content.txt,,
38,Course_Outline_[EECS4462]_week_11_study_material.txt,EECS4462,.txt,iER,Course_Outline_[EECS4462]_content.txt,,
39,Course_Outline_[EECS4462]_week_7_study_material.txt,EECS4462,.txt,iER,Course_Outline_[EECS4462]_content.txt,,
40,Course_Outline_[EECS4462]_week_4_due.txt,EECS4462,.txt,rER,Course_Outline_[EECS4462]_content.txt,,
41,Course_Outline_[EECS4462]_week_4_weekly_goals.txt,EECS4462,.txt,rER,Course_Outline_[EECS4462]_content.txt,,
42,Course_Outline_[EECS4462]_week_12_weekly_goals.txt,EECS4462,.txt,rER,Course_Outline_[EECS4462]_content.txt,,
43,Course_Outline_[EECS4462]_week_1_study_material.txt,EECS4462,.txt,iER,Course_Outline_[EECS4462]_content.txt,,
44,Course_Outline_[EECS4462]_week_6_due.txt,EECS4462,.txt,rER,Course_Outline_[EECS4462]_content.txt,,
45,soundperception.pdf,EECS4462,.pdf,,Course_Outline_[EECS4462]_content.txt,,
46,Course_Outline_[EECS4462]_week_7_due.txt,EECS4462,.txt,rER,Course_Outline_[EECS4462]_content.txt,,
47,audiopluginsjuce.pdf,EECS4462,.pdf,,Course_Outline_[EECS4462]_content.txt,,
48,Course_Outline_[EECS4462]_week_2_study_material.txt,EECS4462,.txt,iER,Course_Outline_[EECS4462]_content.txt,,
49,physicsofsound.pdf,EECS4462,.pdf,,Course_Outline_[EECS4462]_content.txt,,
50,audioformats.pdf,EECS4462,.pdf,,Course_Outline_[EECS4462]_content.txt,,
51,Course_Outline_[EECS4462]_week_10_due.txt,EECS4462,.txt,rER,Course_Outline_[EECS4462]_content.txt,,
52,Course_Outline_[EECS4462]_week_2_due.txt,EECS4462,.txt,rER,Course_Outline_[EECS4462]_content.txt,,
53,Course_Outline_[EECS4462]_week_7_weekly_goals.txt,EECS4462,.txt,rER,Course_Outline_[EECS4462]_content.txt,,
54,Course_Outline_[EECS4462]_week_3_study_material.txt,EECS4462,.txt,iER,Course_Outline_[EECS4462]_content.txt,,
55,Course_Outline_[EECS4462]_week_11_weekly_goals.txt,EECS4462,.txt,rER,Course_Outline_[EECS4462]_content.txt,,
56,Course_Outline_[EECS4462]_week_3_due.txt,EECS4462,.txt,rER,Course_Outline_[EECS4462]_content.txt,,
57,Course_Outline_[EECS4462]_week_3_weekly_goals.txt,EECS4462,.txt,rER,Course_Outline_[EECS4462]_content.txt,,
58,Course_Outline_[EECS4462]_week_11_due.txt,EECS4462,.txt,rER,Course_Outline_[EECS4462]_content.txt,,
59,Course_Outline_[EECS4462]_week_8_weekly_goals.txt,EECS4462,.txt,rER,Course_Outline_[EECS4462]_content.txt,,
60,Course_Outline_[EECS4462]_week_1_due.txt,EECS4462,.txt,rER,Course_Outline_[EECS4462]_content.txt,,
61,gameaudio.pdf,EECS4462,.pdf,,Course_Outline_[EECS4462]_content.txt,,
62,Course_Outline_[EECS4462]_week_10_study_material.txt,EECS4462,.txt,iER,Course_Outline_[EECS4462]_content.txt,,
63,Course_Outline_[EECS4462]_week_8_due.txt,EECS4462,.txt,rER,Course_Outline_[EECS4462]_content.txt,,
64,Course_Outline_[EECS4462]_week_10_weekly_goals.txt,EECS4462,.txt,rER,Course_Outline_[EECS4462]_content.txt,,
65,convolution.pdf,EECS4462,.pdf,,Course_Outline_[EECS4462]_content.txt,,
66,Course_Outline_[EECS4462]_week_6_study_material.txt,EECS4462,.txt,iER,Course_Outline_[EECS4462]_content.txt,,
67,Course_Outline_[EECS4462]_week_6_weekly_goals.txt,EECS4462,.txt,rER,Course_Outline_[EECS4462]_content.txt,,
68,Course_Outline_[EECS4462]_week_9_due.txt,EECS4462,.txt,rER,Course_Outline_[EECS4462]_content.txt,,
69,Course_Outline_[EECS4462]_week_12_due.txt,EECS4462,.txt,rER,Course_Outline_[EECS4462]_content.txt,,
70,Course_Outline_[EECS4462]_week_2_weekly_goals.txt,EECS4462,.txt,rER,Course_Outline_[EECS4462]_content.txt,,
71,Course_Outline_[EECS4462]_week_5_study_material.txt,EECS4462,.txt,iER,Course_Outline_[EECS4462]_content.txt,,
72,Course_Outline_[EECS4462]_week_8_study_material.txt,EECS4462,.txt,iER,Course_Outline_[EECS4462]_content.txt,,
